FRAME,INDEX,TYPE,CFLVL
7,1,car,0.8779742121696472
19,2,car,0.5599859952926636
47,3,car,0.846003532409668
53,4,car,0.5222227573394775
67,6,car,0.9096118807792664
90,26,car,0.94088214635849
